id,wet.mass,dry.mass,date.start,date.end,dry.temp
1,5069.28,1143.32,3/4/2017,3/7/2017,50
2,9401.23,2060.36,3/4/2017,3/7/2017,50
3,4706.65,978.85,3/4/2017,3/7/2017,50
4,5877.37,1246.4,3/4/2017,3/7/2017,50
5,1431.47,289.9,3/4/2017,3/7/2017,50
6,1047.12,211.66,3/4/2017,3/7/2017,50
7,2140.66,435.66,3/4/2017,3/7/2017,50
8,3515.21,728.15,3/4/2017,3/7/2017,50
9,4298.43,896.77,3/4/2017,3/7/2017,50
10,4309.43,899.57,3/4/2017,3/7/2017,50
11,2450.65,526.41,3/4/2017,3/7/2017,50
12,2148.52,524.63,3/4/2017,3/7/2017,50
13,1383.86,317.19,3/4/2017,3/7/2017,50
14,1173.18,268.35,3/4/2017,3/7/2017,50
15,749.53,151.83,3/4/2017,3/7/2017,50
16,880.53,199.75,3/4/2017,3/7/2017,50
17,812.71,167.31,3/4/2017,3/7/2017,50
18,861.83,183.72,3/4/2017,3/7/2017,50
19,1554.25,323.88,3/4/2017,3/7/2017,50
20,1676.11,341.64,3/4/2017,3/7/2017,50
21,419.11,88.05,3/4/2017,3/7/2017,50
22,2046.22,465.34,3/4/2017,3/7/2017,50
23,666.17,141.49,3/4/2017,3/7/2017,50
24,8694.93,1824.35,3/4/2017,3/7/2017,50
25,2026.18,472,3/4/2017,3/7/2017,50
26,850.45,179.13,3/4/2017,3/7/2017,50
27,2807.38,597.92,3/4/2017,3/7/2017,50
28,613.96,123.77,3/4/2017,3/7/2017,50
29,514.01,102.95,3/4/2017,3/7/2017,50
30,586.87,118.57,3/4/2017,3/7/2017,50
31,203.09,40.52,3/4/2017,3/7/2017,50
32,446.66,88.83,3/4/2017,3/7/2017,50
33,295.17,58.08,3/4/2017,3/7/2017,50
34,1292.9,263.79,3/4/2017,3/7/2017,50
35,181.32,35.49,3/4/2017,3/7/2017,50
36,8481.01,1823.64,3/4/2017,3/7/2017,50
37,8906.15,2090.09,3/4/2017,3/7/2017,50
38,3463.68,781.13,3/4/2017,3/7/2017,50
39,3630.74,818.45,3/4/2017,3/7/2017,50
40,522.81,104.22,3/4/2017,3/7/2017,50
41,480.47,95.37,3/4/2017,3/7/2017,50
42,379.53,76.29,3/4/2017,3/7/2017,50
43,660.01,135.52,3/4/2017,3/7/2017,50
44,763.77,152.36,3/4/2017,3/7/2017,50
45,909.47,188.47,3/4/2017,3/7/2017,50
46,3743.42,789.44,3/4/2017,3/7/2017,50
47,194.76,39.55,3/4/2017,3/7/2017,50
48,328.79,65.2,3/4/2017,3/7/2017,50
49,5132.93,1067.63,3/4/2017,3/7/2017,50
50,418.8,84.31,3/4/2017,3/7/2017,50
51,407.63,85.21,3/5/2017,3/8/2017,50
52,186.69,38.18,3/5/2017,3/8/2017,50
53,198.4,41,3/5/2017,3/8/2017,50
54,8571.52,2019.48,3/5/2017,3/8/2017,50
55,10963.35,2413.65,3/5/2017,3/8/2017,50
56,4735.9,989.16,3/5/2017,3/8/2017,50
57,6853.92,1595.64,3/5/2017,3/8/2017,50
58,6879.96,1600.92,3/5/2017,3/8/2017,50
59,10613.47,2323.99,3/5/2017,3/8/2017,50
60,12020.88,2687.36,3/5/2017,3/8/2017,50
61,11890.08,2630.63,3/5/2017,3/8/2017,50
62,5243.66,1178.67,3/5/2017,3/8/2017,50
63,10605.47,2502.29,3/5/2017,3/8/2017,50
64,7272.65,1569.51,3/5/2017,3/8/2017,50
65,7020.66,1502.75,3/5/2017,3/8/2017,50
66,5874.32,1283.21,3/5/2017,3/8/2017,50
67,4724.08,1112.12,3/5/2017,3/8/2017,50
68,3055.35,658.43,3/5/2017,3/8/2017,50
69,4204.98,976.23,3/5/2017,3/8/2017,50
70,7240.65,1552.28,3/5/2017,3/8/2017,50
71,4562.63,955.04,3/5/2017,3/8/2017,50
72,10602.36,2365.36,3/5/2017,3/8/2017,50
73,11018.37,2666.45,3/5/2017,3/8/2017,50
74,11591.61,2756.74,3/5/2017,3/8/2017,50
75,11476.56,2686.24,3/5/2017,3/8/2017,50
76,13687.74,3019.34,3/5/2017,3/8/2017,50
77,11159.16,2429.53,3/5/2017,3/8/2017,50
78,10949.45,2535.98,3/5/2017,3/8/2017,50
79,9457.01,2061.65,3/5/2017,3/8/2017,50
80,6967.69,1602.12,3/5/2017,3/8/2017,50
81,5238.92,1106.06,3/5/2017,3/8/2017,50
82,6207.25,1316.53,3/5/2017,3/8/2017,50
83,5007.54,1175.13,3/5/2017,3/8/2017,50
84,6286.93,1372.17,3/5/2017,3/8/2017,50
85,11057.66,2420.79,3/5/2017,3/8/2017,50
86,8119.88,1743.11,3/5/2017,3/8/2017,50
87,10645.31,2342.35,3/5/2017,3/8/2017,50
88,8817.43,1887.85,3/5/2017,3/8/2017,50
89,7728.22,1660.82,3/5/2017,3/8/2017,50
90,8955.01,1974.19,3/5/2017,3/8/2017,50
91,7825.02,1818.59,3/5/2017,3/8/2017,50
92,9820.69,2164.23,3/5/2017,3/8/2017,50
93,12956.42,2970.9,3/5/2017,3/8/2017,50
94,12616.31,2826.52,3/5/2017,3/8/2017,50
95,11676.77,2748.9,3/5/2017,3/8/2017,50
96,9208.25,2021.33,3/5/2017,3/8/2017,50
97,10118.89,2314.95,3/5/2017,3/8/2017,50
98,9425.29,2040.27,3/5/2017,3/8/2017,50
99,12150.87,2833.78,3/5/2017,3/8/2017,50
100,10784.11,2595.53,3/5/2017,3/8/2017,50
